Date,Open,High,Low,Close,Adj Close,Volume
18/2/2011,10829.15039,10862.42969,10810.12012,10842.79981,10842.79981,151300000
21/2/2011,10820.78027,10859.38965,10789.41016,10857.53027,10857.53027,136400000
22/2/2011,10745.51953,10761.21973,10639.78027,10664.7002,10664.7002,178900000
23/2/2011,10588.82031,10666.71973,10569.92969,10579.09961,10579.09961,182300000
24/2/2011,10533.2002,10542.7002,10428.37988,10452.70996,10452.70996,184900000
25/2/2011,10475.78027,10532.20996,10454.45996,10526.75977,10526.75977,154700000
28/2/2011,10504.54004,10628.75977,10448.83008,10624.08984,10624.08984,186600000
1/3/2011,10676.24023,10754.03027,10672.91016,10754.03027,10754.03027,156400000
2/3/2011,10609.28027,10629.5,10492.37988,10492.37988,10492.37988,153300000
3/3/2011,10529.76953,10593.33984,10522.40039,10586.01953,10586.01953,122400000
4/3/2011,10730.91016,10768.42969,10664.37012,10693.66016,10693.66016,148300000
7/3/2011,10626.96973,10626.96973,10472.50977,10505.01953,10505.01953,149400000
8/3/2011,10513.08008,10565.09961,10509.23047,10525.19043,10525.19043,150300000
9/3/2011,10607.23047,10662.07031,10563.82031,10589.5,10589.5,131000000
10/3/2011,10544.12988,10549.16992,10410.09961,10434.37988,10434.37988,131000000
11/3/2011,10298.63965,10378.54981,10254.42969,10254.42969,10254.42969,236000000
14/3/2011,10044.16992,10049.91992,9578.650391,9620.490234,9620.490234,349800000
15/3/2011,9441.660156,9441.660156,8227.629883,8605.150391,8605.150391,415700000
16/3/2011,8767.200195,9168.509766,8763.950195,9093.719727,9093.719727,372100000
17/3/2011,8913.349609,9093.610352,8639.55957,8962.669922,8962.669922,312100000
18/3/2011,9083.950195,9275.599609,9073.25,9206.75,9206.75,245400000
22/3/2011,9403.049805,9625.030273,9395.849609,9608.320313,9608.320313,252600000
23/3/2011,9590.379883,9592.400391,9387.950195,9449.469727,9449.469727,265100000
24/3/2011,9479.769531,9509.849609,9418.709961,9435.009766,9435.009766,200100000
25/3/2011,9565.490234,9569.709961,9469.370117,9536.129883,9536.129883,203700000
28/3/2011,9541.759766,9541.759766,9405.200195,9478.530273,9478.530273,192700000
29/3/2011,9348.599609,9502.230469,9317.379883,9459.080078,9459.080078,200600000
30/3/2011,9489.509766,9708.790039,9479.030273,9708.790039,9708.790039,217100000
31/3/2011,9765.280273,9765.80957,9658.639648,9755.099609,9755.099609,187100000
1/4/2011,9757.280273,9822.05957,9698.599609,9708.389648,9708.389648,191500000
4/4/2011,9773.910156,9808.599609,9718.889648,9718.889648,9718.889648,171800000
5/4/2011,9732.259766,9732.259766,9566.049805,9615.549805,9615.549805,182900000
6/4/2011,9668.110352,9671.459961,9562.160156,9584.370117,9584.370117,203300000
7/4/2011,9652.650391,9687.179688,9578.469727,9590.929688,9590.929688,165400000
8/4/2011,9586.169922,9804.280273,9536.679688,9768.080078,9768.080078,215000000
11/4/2011,9731.320313,9775.599609,9700.75,9719.700195,9719.700195,147500000
12/4/2011,9603.5,9603.639648,9513.269531,9555.259766,9555.259766,169000000
13/4/2011,9516.5,9655.830078,9516.5,9641.179688,9641.179688,157400000
14/4/2011,9579.790039,9676.969727,9553.75,9653.919922,9653.919922,153100000
15/4/2011,9646.219727,9651.959961,9577.959961,9591.519531,9591.519531,147900000
18/4/2011,9593.410156,9608.919922,9539.030273,9556.650391,9556.650391,110100000
19/4/2011,9448.650391,9478.870117,9405.19043,9441.030273,9441.030273,131500000
20/4/2011,9536.790039,9631,9519.360352,9606.820313,9606.820313,125900000
21/4/2011,9686.269531,9725.120117,9643.919922,9685.769531,9685.769531,118000000
22/4/2011,9623,9732.629883,9611.379883,9682.209961,9682.209961,126200000
25/4/2011,9705.900391,9748.400391,9657.240234,9671.959961,9671.959961,100600000
26/4/2011,9627.429688,9627.429688,9536.509766,9558.69043,9558.69043,100300000
27/4/2011,9631.530273,9728.030273,9630.370117,9691.839844,9691.839844,115900000
28/4/2011,9749.360352,9849.740234,9712.580078,9849.740234,9849.740234,158100000
2/5/2011,9964.389648,10017.46973,9936.269531,10004.2002,10004.2002,127800000
6/5/2011,9851.150391,9876.099609,9782.660156,9859.200195,9859.200195,132400000
9/5/2011,9881.669922,9897.879883,9776.740234,9794.379883,9794.379883,110700000
10/5/2011,9804.269531,9853.129883,9755.929688,9818.759766,9818.759766,131900000
11/5/2011,9912.480469,9929.040039,9842.669922,9864.259766,9864.259766,141700000
12/5/2011,9770.709961,9836.709961,9716.650391,9716.650391,9716.650391,144900000
13/5/2011,9751.450195,9751.450195,9552.929688,9648.769531,9648.769531,212600000
16/5/2011,9571.129883,9598.330078,9552.860352,9558.299805,9558.299805,126100000
17/5/2011,9513.5,9593.129883,9502.389648,9567.019531,9567.019531,136000000
18/5/2011,9602.879883,9693.599609,9590.400391,9662.080078,9662.080078,132800000
19/5/2011,9711.320313,9731.120117,9600.80957,9620.820313,9620.820313,117200000
20/5/2011,9612.870117,9670.919922,9600.480469,9607.080078,9607.080078,120800000
23/5/2011,9547.860352,9547.860352,9437.870117,9460.629883,9460.629883,131500000
24/5/2011,9406.040039,9490.349609,9406.040039,9477.169922,9477.169922,115900000
25/5/2011,9492.429688,9503.769531,9415.330078,9422.879883,9422.879883,116700000
26/5/2011,9499.450195,9567.459961,9489.120117,9562.049805,9562.049805,117500000
27/5/2011,9514.160156,9588.700195,9493.44043,9521.94043,9521.94043,108900000
